run_id,id,n_rows,duration_s,speed_p85,path_m,too_short,stationary,keep
1,18430,3,0.20000000000004547,0.13284113887770488,0.026262811108828218,True,True,False
1,18431,28,2.7000000000000455,2.3509128062093043,5.191575532916198,True,True,False
1,18432,3,0.20000000000004547,0.19744677437254088,0.039416199998841814,True,True,False
1,18433,94,9.400000000000091,2.114942815702422,18.569471063267954,True,False,False
1,18434,140,13.900000000000091,1.160920218979509,14.49056184169988,False,False,True
1,18435,35,3.400000000000091,1.7700161720702547,4.95157983282807,True,True,False
1,18436,86,8.5,1.755471039961894,14.474037000077727,True,False,False
1,18437,17,1.599999999999909,0.8943476732075023,1.417607478609341,True,True,False
1,18438,64,6.2999999999999545,2.048719417477879,10.646368306757784,True,False,False
1,18439,21,2.0,1.6780984194163433,2.786966570025365,True,True,False
1,18440,79,7.800000000000182,1.8222855077045845,13.30225664902888,True,False,False
1,18441,80,8.0,1.9271911904445431,15.017537158853651,True,False,False
1,18442,1,0.0,0.0409701322064232,0.0,True,True,False
1,18443,76,7.7000000000000455,1.981365626485797,14.748860629158754,True,False,False
1,18444,135,17.0,1.966193955296851,29.09733247390771,False,False,True
1,18445,48,4.7000000000000455,2.0464443071898257,8.7527824990316,True,False,False
1,18446,103,10.299999999999955,1.5276889626188126,15.348519211148865,False,False,True
1,18447,9,0.7999999999999545,0.0151532743895958,0.009366767807874873,True,True,False
1,18448,1,0.0,0.0460902181584564,0.0,True,True,False
1,18449,68,6.7000000000000455,2.64077011049614,17.026239515030426,True,False,False
1,18450,58,5.7000000000000455,2.1136183836824727,10.8195743189338,True,False,False
1,18451,83,8.200000000000045,2.075831036765284,15.632793701747644,True,False,False
1,18452,13,1.2000000000000455,0.32864493008438017,0.3941777690551629,True,True,False
1,18453,39,3.800000000000182,2.000082125164326,6.052171083995628,True,True,False
1,18454,70,6.900000000000091,2.3504776816398762,14.741068228573106,True,False,False
1,18455,36,3.5,1.1837926556203149,3.6509861686527607,True,True,False
1,18456,31,3.0,1.7451237719356052,4.442676576954432,True,True,False
1,18457,79,7.7999999999999545,1.8174449983510375,13.665063386613001,True,False,False
1,18458,35,3.599999999999909,1.6874748571412468,5.174683335762616,True,True,False
1,18459,113,11.299999999999955,1.5747542157685406,16.309870806963477,False,False,True
1,18460,101,10.0,1.5330710171418334,13.872778293651152,False,False,True
1,18461,76,7.5,1.911651907472475,13.312587637918288,True,False,False
1,18462,83,8.200000000000045,1.80393043768934,14.21378058362355,True,False,False
1,18463,13,1.199999999999818,0.645953498393239,0.7747454876852712,True,True,False
1,18464,87,8.800000000000182,2.6066483500777013,20.07517680416178,True,False,False
1,18465,15,1.400000000000091,0.9262158236663047,1.296097475381103,True,True,False
1,18466,54,5.2999999999999545,2.617587437808125,13.278341034755684,True,False,False
1,18467,11,1.0,0.625560094663771,0.6242096486992254,True,True,False
1,18468,82,8.099999999999909,1.8927836169970116,14.4367998640393,True,False,False
1,18469,2,0.10000000000013642,0.1574759870450943,0.015747598704518806,True,True,False
1,18470,24,2.2999999999999545,1.9262573826412661,3.531561732481895,True,True,False
